dataset,model,attack,attack_success_rates,l0_distances,l1_distances,l2_distances,linf_distances,mahalanobis_distances,sensitivity,outliner_rates,epsilons
Higgs,LogisticRegression,L2Gaussian,0.3634,0.0,0.0,0.0,0.0,5.010344034161137,0.0,0.08227848101265822,0.0
Higgs,LogisticRegression,L2Gaussian,0.3615,26.187275242047026,0.004328853034196656,0.00965698203290935,0.03980142825681144,5.023640600996792,0.0026515564040434166,0.08160442600276625,0.01
Higgs,LogisticRegression,L2Gaussian,0.3732,26.172829581993568,0.012955761156748633,0.028915883096320292,0.11921425576602275,5.135678454594412,0.007939365344563257,0.08869239013933548,0.03
Higgs,LogisticRegression,L2Gaussian,0.3781,26.154456492991272,0.021491192269915627,0.04803132931944461,0.1979789397162251,5.365084352139693,0.013182821335786788,0.11637133033588998,0.05
Higgs,LogisticRegression,L2Gaussian,0.3953,26.16266126992158,0.042777384490683176,0.09509217559673079,0.39162213854961025,6.208435917669259,0.02623066392013567,0.34100683025550216,0.1
Higgs,LogisticRegression,L2Gaussian,0.4452,26.15745732255166,0.12357895702177195,0.27047818404122825,1.1101356861244316,10.580528701979567,0.0757780708657094,0.9690026954177897,0.3
Higgs,LogisticRegression,L2Gaussian,0.4563,26.16984440061363,0.20341614669230904,0.43340374894134837,1.758829511168127,14.864216601978795,0.12467526140088657,0.9975893052816129,0.5
Higgs,LogisticRegression,L2Gaussian,0.4752,26.142045454545453,0.3952219544906759,0.8177493257190944,3.2226042073433248,25.935488504528383,0.24245314491028436,0.9997895622895623,1.0
Higgs,LogisticRegression,LinfFGSM,0.3634,0.0,0.0,0.0,0.0,5.010344034161137,0.0,0.08227848101265822,0.0
Higgs,LogisticRegression,LinfFGSM,0.8397,26.191496963201143,0.010000005558956531,0.05104335934381563,0.2609802921236846,5.4712969196762975,0.006126435053429107,0.11968560200071454,0.01
Higgs,LogisticRegression,LinfFGSM,0.9925,26.216725440806044,0.030000001192092896,0.15131022574469186,0.7709010878858398,8.425470662600624,0.01836153679252872,0.9981863979848866,0.03
Higgs,LogisticRegression,LinfFGSM,0.9995,26.214907453726862,0.050000011920928955,0.24765966950117677,1.2529963901604695,11.623337095797128,0.030604683708077136,1.0,0.05
Higgs,LogisticRegression,LinfFGSM,1.0,26.2145,0.10000002384185791,0.4729840957015753,2.3443522514224053,18.822278313920993,0.06121031391322613,1.0,0.1
Higgs,LogisticRegression,LinfFGSM,1.0,26.2145,0.3000000239700079,1.2938887452840806,6.027144497919083,44.50284394769525,0.183630906753242,1.0,0.3
Higgs,LogisticRegression,LinfFGSM,1.0,26.2145,0.5,2.038314942908287,9.164551992607116,70.30429492598547,0.3060514963388443,1.0,0.5
Higgs,LogisticRegression,LinfFGSM,1.0,26.2145,0.9986443401157856,3.3088942504882812,13.992514962863922,128.57752117516145,0.6112298504471779,1.0,1.0
Higgs,LogisticRegression,LinfPGD,0.3634,0.0,0.0,0.0,0.0,5.010344034161137,0.0,0.08227848101265822,0.0
Higgs,LogisticRegression,LinfPGD,0.805,26.180745341614905,0.010000004853983844,0.04680140618026627,0.23440982011164196,5.372620081901155,0.006128940593902461,0.10881987577639751,0.01
Higgs,LogisticRegression,LinfPGD,0.9889,26.218424512084134,0.030000001192092896,0.1390459440126435,0.6950253418186507,7.945701535877418,0.018360361987467794,0.9668318333501871,0.03
Higgs,LogisticRegression,LinfPGD,0.9989,26.21493643007308,0.05000001192018308,0.22835170249464468,1.1354225136422458,10.943089916829203,0.030604655324923454,1.0,0.05
Higgs,LogisticRegression,LinfPGD,1.0,26.2145,0.1000000237070024,0.44110723712444305,2.1584531665086746,18.087552655298058,0.06121031383797526,1.0,0.1
Higgs,LogisticRegression,LinfPGD,1.0,26.2145,0.3000000205516815,1.2391981060981752,5.73282495803833,44.32605065306896,0.18363090435862542,1.0,0.3
Higgs,LogisticRegression,LinfPGD,1.0,26.2145,0.5,1.9819000073313713,8.872826402521133,70.24433297267582,0.3060514963388443,1.0,0.5
Higgs,LogisticRegression,LinfPGD,1.0,26.2145,0.9986443401157856,3.3088942504882812,13.992514962863922,128.57752117516145,0.6112298504471779,1.0,1.0
Higgs,LogisticRegression,LinfBIM,0.3634,0.0,0.0,0.0,0.0,5.010344034161137,0.0,0.08227848101265822,0.0
Higgs,LogisticRegression,LinfBIM,0.8397,26.191496963201143,0.010000005558956531,0.05104335934381563,0.2609802921236846,5.4712969196762975,0.006126435053429107,0.11968560200071454,0.01
Higgs,LogisticRegression,LinfBIM,0.9925,26.216725440806044,0.030000001192092896,0.15131022574469186,0.7709010878858398,8.425470662600624,0.01836153679252872,0.9981863979848866,0.03
Higgs,LogisticRegression,LinfBIM,0.9995,26.214907453726862,0.050000011920928955,0.24765966950117677,1.2529963901604695,11.623337095797128,0.030604683708077136,1.0,0.05
Higgs,LogisticRegression,LinfBIM,1.0,26.2145,0.10000002384185791,0.4729840957015753,2.3443522514224053,18.822278313920993,0.06121031391322613,1.0,0.1
Higgs,LogisticRegression,LinfBIM,1.0,26.2145,0.3000000239700079,1.2938887452840806,6.027144497919083,44.50284394769525,0.183630906753242,1.0,0.3
Higgs,LogisticRegression,LinfBIM,1.0,26.2145,0.5,2.038314942908287,9.164551992607116,70.30429492598547,0.3060514963388443,1.0,0.5
Higgs,LogisticRegression,LinfBIM,1.0,26.2145,0.9986443401157856,3.3088942504882812,13.992514962863922,128.57752117516145,0.6112298504471779,1.0,1.0
Higgs,LogisticRegression,L2CarliniWagner,0.3634,0.0,0.0,0.0,0.0,5.010344034161137,0.0,0.08227848101265822,0.0
Higgs,LogisticRegression,L2CarliniWagner,0.4844,27.157308009909165,0.0011257814682423643,0.0024994528526810114,0.010599851116422233,4.962322454645145,0.0006454823952826577,0.07658959537572255,0.01
